CitationNumber,OfficerBadgeNo,CitationDate,CitationTime,OffenseDate,OffenseTime,WeatherCondition,CaseNumber,ViolatorPartyType,ViolatorAge,ViolatorSex,ViolatorRace,ViolatorEthnicity,VehYear,VehMake,VehModel,VehType,PrimaryBlock,PrimaryStreet,CrossStreet,DirectionOfTravel,Arrest,ViolationStopResult,ViolationOffenseType,ViolationDescription,Offense_Code,OffenseSubCode,Violation_Notes,CourtRequired,ObservedSpeed,PostedSpeed,SpeedDetermined,RadarMovSta,Radar_LidarNo,Accident,OfficerNotes,DiagramFilename,ReasonForStop,TypeOfSearch,VehicleSearch,ObjectId
CS0210868,931,2021/01/08 00:00:00+00,2023/02/01 10:14:00+00,2021/01/08 00:00:00+00,2023/02/01 10:14:00+00,FOG,6866,DRIVER,25,M,AFRICAN AMERICAN,B,2008,LEXUS,,PASS,,24TH ST,52ND AVE,S,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,60,35,LIDAR,HANDHELD,,N,,,,,,1
CS0015604,958,2021/01/08 00:00:00+00,2023/02/01 16:55:00+00,2021/01/08 00:00:00+00,2023/02/01 16:55:00+00,CLEAR,7288,DRIVER,46,M,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,,RICHARDS BLVD,N 10TH ST,N,Y,CITATION,M,(M) POSS DANGEROUS DRUG,HS,11377(A),CITE RELEASE PER 853.6 PC,N,,,,,,N,,,,,,2
CS0219808,876,2021/01/08 00:00:00+00,2023/02/01 09:31:00+00,2021/01/08 00:00:00+00,2023/02/01 09:31:00+00,,6809,DRIVER,58,M,AFRICAN AMERICAN,B,2006,DODGE,GRAND CARAVAN,PASS,,BROADWAY,LAND PARK DR,S,N,Citation,M,(M) SUSP/REVOKE LICENSE,VC,14601.1(A),,N,,,,,,N,,,,,,3
CS0215436,407,2021/01/08 00:00:00+00,2023/02/01 09:54:00+00,2021/01/08 00:00:00+00,2023/02/01 09:54:00+00,,6843,DRIVER,22,F,WHITE,W,2005,HONDA,,PASS,,BROADWAY,I 5 NB BROADWAY OFF,,N,CITATION,M,(M) DRIVING ON SUSP/REVOKED CDL FOR DUI OR DRUGS,VC,14601.2(A),,N,,,,,,N,,,,,,4
CS0216122,530,2021/01/08 00:00:00+00,2023/02/01 16:35:00+00,2021/01/08 00:00:00+00,2023/02/01 16:35:00+00,,7268,DRIVER,50,M,WHITE,W,2002,HONDA,,PASS,222,JIBOOM ST,,N,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,5
CS0220036,270,2021/01/08 00:00:00+00,2023/02/01 10:52:00+00,2021/01/08 00:00:00+00,2023/02/01 10:52:00+00,,6917,DRIVER,26,M,HISPANIC,W,2017,KIA,OPTIMA,PASS,,LAND PARK DR,17TH AVE,S,N,WARNING,I,(I) DISPLAY OF LICENSE PLATE TABS,VC,5204(A),,N,,,,,,N,,,WARNING ONLY,,,6
CS0219811,876,2021/01/08 00:00:00+00,2023/02/01 10:09:00+00,2021/01/08 00:00:00+00,2023/02/01 10:09:00+00,,6861,DRIVER,21,M,HISPANIC,W,2011,HONDA,ACCORD,PASS,,BROADWAY,16TH ST,W,N,Citation,I,(I) IN-HAND USE OF WIRELESS DEVICE WHILE DRIVING,VC,23123.5(A),,N,,,,,,N,,,,,,7
CS0215437,407,2021/01/08 00:00:00+00,2023/02/01 10:25:00+00,2021/01/08 00:00:00+00,2023/02/01 10:25:00+00,,6886,DRIVER,47,F,AFRICAN AMERICAN,B,2016,MAZDA,MAZDA3,PASS,,BROADWAY,3RD ST,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,8
CS0220039,270,2021/01/08 00:00:00+00,2023/02/01 16:40:00+00,2021/01/08 00:00:00+00,2023/02/01 16:40:00+00,,7277,DRIVER,20,M,UNKNOWN,U,2004,INFINITI,G35,PASS,,CAPITOL MALL,7TH ST,E,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,9
CS0210870,931,2021/01/08 00:00:00+00,2023/02/01 11:07:00+00,2021/01/08 00:00:00+00,2023/02/01 11:07:00+00,FOG,6928,DRIVER,25,M,AFRICAN AMERICAN,B,1990,SSR,NOT IN LIST,PASS,,RIVERSIDE BLVD,PARK RIVIERA WAY,N,N,Citation,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),,N,,,,,,N,,,,,,10
CS0220041,270,2021/01/08 00:00:00+00,2023/02/01 17:16:00+00,2021/01/08 00:00:00+00,2023/02/01 17:16:00+00,,7320,DRIVER,34,M,HISPANIC,W,2008,HONDA,CIVIC,PASS,,E COMMERCE WAY,ARENA BLVD,E,N,WARNING,I,(I) DISPLAY OF LICENSE PLATE TABS,VC,5204(A),,N,,,,,,N,,,WARNING ONLY,,,11
CS0015604,958,2021/01/08 00:00:00+00,2023/02/01 16:55:00+00,2021/01/08 00:00:00+00,2023/02/01 16:55:00+00,CLEAR,7288,DRIVER,46,M,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,,RICHARDS BLVD,N 10TH ST,N,Y,CITATION,M,(M) POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA INJECT/SMOKING,HS,11364(A),CITE RELEASE PER 853.6 PC,N,,,,,,N,,,,,,12
CS0220033,270,2021/01/08 00:00:00+00,2023/02/01 10:08:00+00,2021/01/08 00:00:00+00,2023/02/01 10:08:00+00,,6860,DRIVER,43,M,AFRICAN AMERICAN,B,2018,FORD,MUSTANG,PASS,,FREEPORT BLVD,8TH AVE,N,N,WARNING,I,(I) DISPLAY OF LICENSE PLATE TABS,VC,5204(A),,N,,,,,,N,,,WARNING ONLY,,,13
CS0220031,270,2021/01/08 00:00:00+00,2023/02/01 09:37:00+00,2021/01/08 00:00:00+00,2023/02/01 09:37:00+00,,6819,DRIVER,26,M,WHITE,W,1998,SUBARU,LEGACY,PASS,,SUTTERVILLE RD,FREEPORT BLVD,E,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,14
CS0101675,902,2021/01/08 00:00:00+00,2023/02/01 02:12:00+00,2021/01/08 00:00:00+00,2023/02/01 02:12:00+00,CLEAR,7097,DRIVER,45,F,AFRICAN AMERICAN,B,,,NOT IN LIST,PASS,3015,POWER INN RD,,,N,CITATION,I,(I) SMOKING ON SYSTEM FACILITY OR VEHICLE WHERE PROHIBITED,PC,640(B)(3),,N,,,,,,N,,,,,,15
CS0212965,592,2021/01/08 00:00:00+00,2023/02/01 10:41:00+00,2021/01/08 00:00:00+00,2023/02/01 10:41:00+00,CLOUDY,6903,DRIVER,27,F,WHITE,W,2000,TOYOTA,CAMRY,PASS,,FRUITRIDGE RD,FRANKLIN BLVD,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,4D,16
CS0219821,876,2021/01/08 00:00:00+00,2023/02/01 16:26:00+00,2021/01/08 00:00:00+00,2023/02/01 16:26:00+00,,7245,DRIVER,34,M,WHITE,W,,,,PASS,,5TH ST,CAPITOL MALL,S,N,Citation,I,(I) PEDESTRIAN FAILURE TO OBEY ANY SIGN OR SIGNAL,VC,21461.5,,N,,,,,,N,,,,,,17
CS0219819,876,2021/01/08 00:00:00+00,2023/02/01 12:34:00+00,2021/01/08 00:00:00+00,2023/02/01 12:34:00+00,,7015,DRIVER,21,M,HISPANIC,W,2010,NISSAN,ALTIMA,PASS,,BROADWAY,16TH ST,W,N,Citation,I,(I) UNSAFE SPEED FOR CONDITIONS,VC,22350,,N,60,25,PACED,HANDHELD,,N,,,,,,18
CS0215433,407,2021/01/08 00:00:00+00,2023/02/01 08:49:00+00,2021/01/08 00:00:00+00,2023/02/01 08:49:00+00,,6788,DRIVER,36,M,WHITE,W,2017,NISSAN,ROGUE,PASS,,X ST,22ND ST,,N,Citation,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),,N,,,,,,N,,,,,,19
CS0212964,592,2021/01/08 00:00:00+00,2023/02/01 10:28:00+00,2021/01/08 00:00:00+00,2023/02/01 10:28:00+00,CLOUDY,6885,DRIVER,77,F,ASIAN OTHER,A,2014,MERCEDES-BENZ,ML-CLASS,PTRK,,FREEPORT BLVD,FRUITRIDGE RD,,N,Citation,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),,N,,,,,,N,,,,,LL,20
