ObjectId,CitationNumber,OfficerBadgeNo,CitationDateTime,OffenseDateTime,WeatherCondition,CaseNumber,ViolatorPartyType,ViolatorAge,ViolatorSex,ViolatorRace,ViolatorEthnicity,VehYear,VehMake,VehModel,VehType,PrimaryBlock,PrimaryStreet,CrossStreet,DirectionOfTravel,Arrest,ViolationStopResult,ViolationOffenseType,ViolationDescription,Offense_Code,OffenseSubCode,Violation_Notes,CourtRequired,ObservedSpeed,PostedSpeed,SpeedDetermined,RadarMovSta,Radar_LidarNo,Accident,OfficerNotes,DiagramFilename,ReasonForStop,TypeOfSearch,VehicleSearch
1,CS0193576,530,2019/06/10 21:40:00+00,2019/06/10 21:40:00+00,,182938,DRIVER,18,M,HISPANIC,W,1997,HONDA,,PASS,,HOWE AVE,FEATURE DR,N,N,CITATION,I,"(I) DRIVER/PASSENGER NO SEAT BELT, DRIVER RESPONSIBLE",VC,27315(D)(1),"(I) DRIVER/PASSENGER NO SEAT BELT, DRIVER RESPONSIBLE",N,,,,,,N,,,,,
2,CS0191047,530,2019/02/12 19:31:59+00,2019/02/12 19:31:59+00,,46022,DRIVER,21,F,MIXED RACE,U,2012,TOYOTA,,PASS,,J ST,4TH ST,E,N,CITATION,I,(I) DISPLAY OF LICENSE PLATE TABS,VC,5204(A),(I) DISPLAY OF LICENSE PLATE TABS,N,,,,,,N,,,,,
3,CS0025301,530,2019/08/14 14:26:59+00,2019/08/14 14:26:59+00,,261800,DRIVER,47,F,AFRICAN AMERICAN,B,2019,JEEP,,PASS,,27TH ST,H ST,S,N,CITATION,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),(I)FAILURE TO STOP AT STOP SIGN,N,,,,,,N,,,,,
4,CS0193682,530,2019/07/07 19:30:00+00,2019/07/07 19:30:00+00,,215148,DRIVER,40,F,HISPANIC,W,2009,HONDA,,PASS,,ARDEN WAY,POINT WEST WAY,W,N,CITATION,I,(I) NO EVIDENCE OF CURRENT REGISTRATION,VC,4000(A)(1),(I) NO EVIDENCE OF CURRENT REGISTRATION,N,,35,LIDAR,,,N,,,,,
5,CS0193620,530,2019/06/23 14:58:59+00,2019/06/23 14:58:59+00,,198382,DRIVER,32,M,HISPANIC,W,2005,DODGE,,PASS,,CLAY ST,EL CAMINO AVE,W,N,CITATION,M,(M) DRIVING ON SUSP/REVOKED CDL FOR DUI OR DRUGS,VC,14601.2(A),(M) DRIVING ON SUSP/REVOKED CDL FOR DUI OR DRUGS,N,55,35,LIDAR,HANDHELD,,N,,,,,
6,CS0026557,3066,2019/09/30 22:18:59+00,2019/09/30 22:18:59+00,,318656,DRIVER,49,F,WHITE,W,2008,HONDA,ACCORD,PASS,,35TH AVE,S LAND PARK DR,,N,CITATION,I,(I) ADEQUATE MUFFLER REQUIRED TO BE MAINTAINED,VC,27150(A),(I) ADEQUATE MUFFLER REQUIRED TO BE MAINTAINED,N,,,,,,N,,,,,
7,CS0194538,522,2019/06/25 15:46:59+00,2019/06/25 15:46:59+00,,200547,DRIVER,66,M,WHITE,W,2002,DODGE,,PASS,,ETHAN WAY,SURREY RD,,N,CITATION,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),(I)FAILURE TO STOP AT STOP SIGN,N,,,,,,N,,,,,
8,CS0195006,876,2019/07/24 16:50:59+00,2019/07/24 16:50:59+00,,235894,DRIVER,28,F,HISPANIC,W,2008,BUICK,ENCLAVE,PASS,,21ST AVE,62ND ST,W,N,CITATION,I,(I)FAILURE TO STOP AT STOP SIGN,VC,22450(A),(I)FAILURE TO STOP AT STOP SIGN,N,,,LIDAR,,lh001232,N,,,,,
9,CS0025224,530,2019/08/08 02:32:59+00,2019/08/08 02:32:59+00,,253910,DRIVER,17,F,MIXED RACE,U,2009,HONDA,,PASS,,MARYSVILLE BLVD,ARCADE BLVD,S,N,CITATION,I,(I) PROOF OF INSURANCE REQUIRED,VC,16028(A),(I) PROOF OF INSURANCE REQUIRED,N,,,,,,N,,,,,
10,CS0147767,897,2019/08/17 06:37:59+00,2019/08/17 06:37:59+00,,265209,DRIVER,28,M,AFRICAN AMERICAN,B,2004,JAGUAR,S-TYPE R,PASS,,NORTHGATE,SAN JUAN,,N,CITATION,I,(I) DISPLAY OF LICENSE PLATES,VC,5200(A),(I) DISPLAY OF LICENSE PLATES,N,,,,,,N,,,,,
